state,language1,speakers1,language2,speakers2
Alabama,Spanish,151384,German,10038
Alaska,Spanish,22425,Yupik,19360
Arizona,Spanish,1230732,Navajo,83792
Arkansas,Spanish,143540,German,5488
California,Spanish,10105424,Tagalog,764743
Colorado,Spanish,565060,German,25675
Connecticut,Spanish,371024,Polish,37704
Delaware,Spanish,57255,Chinese,6110
Florida,Spanish,3640750,French Creole,114756
Georgia,Spanish,709563,Korean,44978
Hawaii,Tagalog,58345,Japanese,45633
Idaho,Spanish,114558,German,4483
Illinois,Spanish,1570809,Polish,185121
Indiana,Spanish,277381,German,35409
Iowa,Spanish,113173,German,12482
Kansas,Spanish,195103,German,13095
Kentucky,Spanish,104471,German,13016
Louisiana,Spanish,150424,French,119931
Maine,French,45475,Spanish,11599
Maryland,Spanish,378010,French,52960
Massachusetts,Spanish,502625,Portuguese,181917
Michigan,Spanish,270708,Arabic,192113
Minnesota,Spanish,192113,Hmong,55037
Mississippi,Spanish,65295,French,4739
Missouri,Spanish,148039,German,22910
Montana,Spanish,13929,German,7122
Nebraska,Spanish,119506,Vietnamese,7616
Nevada,Spanish,517933,Tagalog,69278
New Hampshire,Spanish,26815,French,24061
New Jersey,Spanish,1277011,Portuguese,84180
New Mexico,Spanish,553052,Navajo,64040
New York,Spanish,2705243,Chinese,523389
North Carolina,Spanish,658939,Chinese,30083
North Dakota,Spanish,9190,German,8541
Ohio,Spanish,241651,German,54215
Oklahoma,Spanish,224324,Vietnamese,15084
Oregon,Spanish,319160,Chinese,26410
Pennsylvania,Spanish,525218,Chinese,72904
Rhode Island,Spanish,109457,Portuguese,32159
South Carolina,Spanish,195871,German,12662
South Dakota,Spanish,16214,Dakota,11035
Tennessee,Spanish,232394,Arabic,16535
Texas,Spanish,6983384,Vietnamese,193408
Utah,Spanish,245947,Chinese,11451
Vermont,French,9324,Spanish,6180
Virginia,Spanish,506648,Korean,56184
Washington,Spanish,521720,Vietnamese,60094
West Virginia,Spanish,18308,French,3145
Wisconsin,Spanish,243560,Hmong,40985
Wyoming,Spanish,25529,German,1633
